Report ID,Arrest Date,Age,Sex Code
241514290,10/1/2024,24,M
240811081,9/29/2024,44,M
240610446,7/8/2024,18,M
6818168,7/1/2024,25,M
240208940,4/17/2024,29,M
241413743,9/27/2024,25,M
240119520,10/5/2024,35,M
6842865,7/7/2024,58,M
240200739,7/7/2024,39,M
241511925,7/9/2024,46,M
240910313,7/12/2024,35,F
241213435,7/13/2024,28,M
241711118,7/10/2024,43,F
241811365,7/12/2024,41,F
6845947,7/12/2024,22,M
242110245,7/9/2024,51,M
240114230,7/8/2024,27,M
240109197,3/16/2024,41,F
240608485,4/15/2024,30,M
6893227,10/1/2024,19,M
241108748,6/12/2024,58,M
240610449,7/8/2024,19,M
240200748,7/10/2024,56,M
240119381,10/2/2024,58,M
240215390,9/24/2024,27,M
241111226,10/5/2024,53,M
240119384,10/2/2024,33,M
240114244,7/8/2024,54,M
240217685,11/27/2024,23,F
6837038,6/27/2024,21,M
240800744,7/8/2024,36,M
6894497,10/3/2024,2,F
240809488,7/12/2024,55,M
240408738,7/8/2024,25,F
241413724,9/27/2024,35,M
242010101,6/27/2024,28,M
241514312,10/3/2024,27,M
240312203,7/11/2024,35,M
240211883,7/12/2024,42,M
241804303,1/5/2024,53,M
240312262,7/13/2024,51,M
241704232,1/5/2024,42,M
240204347,1/5/2024,40,M
241204163,1/3/2024,32,M
241004261,1/6/2024,19,F
240104353,1/5/2024,24,M
240904213,1/6/2024,25,M
241604043,1/2/2024,48,M
240204250,1/3/2024,22,M
240800506,1/4/2024,47,M
6736418,1/3/2024,19,F
6735579,1/1/2024,31,M
6736669,1/3/2024,30,M
240800510,1/5/2024,44,M
240104281,1/4/2024,21,M
240104273,1/4/2024,47,M
6737142,1/4/2024,50,M
6738039,1/6/2024,55,M
6736663,1/3/2024,30,F
240204252,1/3/2024,41,M
6737992,1/6/2024,29,M
6737139,1/4/2024,63,F
240804052,1/1/2024,30,M
240104416,1/5/2024,34,F
6735504,1/1/2024,26,M
240104309,1/4/2024,25,M
6736635,1/3/2024,54,M
6737783,1/5/2024,30,M
6736484,1/3/2024,26,M
6737070,1/4/2024,52,M
6736405,1/3/2024,20,M
6738364,1/6/2024,23,M
241704268,1/4/2024,35,F
6736481,1/3/2024,51,M
6736209,1/2/2024,43,M
6737090,1/4/2024,33,M
6735223,1/1/2024,64,M
240204105,1/3/2024,31,M
240804214,1/5/2024,46,M
6737878,1/5/2024,29,M
6737822,1/5/2024,53,M
6737154,1/4/2024,10,F
6736167,1/2/2024,44,M
241900512,1/5/2024,25,M
6738365,1/6/2024,57,M
6736184,1/2/2024,24,M
6738321,1/6/2024,25,M
6738018,1/6/2024,24,M
240604235,1/5/2024,32,M
6737030,1/4/2024,29,M
6736375,1/3/2024,61,F
